Uxbridge South Ward,	51.5185289014,	-0.495510471687,	51.5507191987,	-0.472645721143
Brunel Ward,	51.5168013984,	-0.482957228411,	51.5392778374,	-0.438362470299
Uxbridge North Ward,	51.5327193842,	-0.485408258375,	51.5596232483,	-0.44783609013
Hillingdon East Ward,	51.5264441526,	-0.452651930713,	51.5540067093,	-0.411364889622
Ickenham Ward,	51.5507125301,	-0.489231707745,	51.5777590892,	-0.432776989775
West Ruislip Ward,	51.5635683951,	-0.453927978028,	51.5965891951,	-0.418116065089
Northwood Ward,	51.5907824504,	-0.46306340799,	51.6200699939,	-0.411976943993
South Ruislip Ward,	51.540082815,	-0.440200168768,	51.5709634849,	-0.377688788807
Manor Ward,	51.5611730327,	-0.43116244755,	51.5783592581,	-0.400840961913
Eastcote and East Ruislip Ward,	51.5749111019,	-0.436069741279,	51.5937685473,	-0.388413603538
Northwood Hills Ward,	51.5876942775,	-0.426241905838,	51.6141791375,	-0.395471070013
Pinkwell Ward,	51.4924443724,	-0.453326728751,	51.5059224597,	-0.410562586514
Botwell Ward,	51.4979652598,	-0.451087180748,	51.5264441526,	-0.409217301039
Charville Ward,	51.5228816261,	-0.441876853188,	51.5423558346,	-0.411768938825
Townfield Ward,	51.4996102514,	-0.427362555479,	51.5233494248,	-0.390442870474
Barnhill2 Ward,	51.5160733934,	-0.422045937523,	51.5342877465,	-0.395416220318
Yeading Ward,	51.5132037646,	-0.401241891474,	51.5320237765,	-0.375929149237
Cavendish Ward,	51.5602796972,	-0.408233299416,	51.578730843,	-0.385708195115
Roxeth Ward,	51.5530613459,	-0.380292658874,	51.5652359664,	-0.347439320037
Harrow on the Hill Ward,	51.5565328827,	-0.358447647241,	51.5782370662,	-0.322153683097
Pinner Ward,	51.5896797709,	-0.404071930987,	51.6161647359,	-0.370118630183
Pinner South Ward,	51.5709634849,	-0.397739896383,	51.5968566037,	-0.373041308048
Greenhill Ward,	51.574004352,	-0.344404313817,	51.5914600562,	-0.317089462028
Headstone North Ward,	51.5779249519,	-0.37627813191,	51.6072003184,	-0.34617553665
Marlborough Ward,	51.5846032995,	-0.349164468867,	51.6009638303,	-0.319665752698
Harrow Weald Ward,	51.59928614,	-0.368197126583,	51.6307200852,	-0.326375121485
Stanmore Park Ward,	51.6047914368,	-0.343366958,	51.6338322574,	-0.304905752808
